Decimal ;Binário ;Hex ;Referência 
32;100000;20;Space – SPC 
33;100001;21;! 
34;100010;22;""" "
35;100011;23;# 
36;100100;24;$ 
37;100101;25;% 
38;100110;26;& 
39;100111;27;' 
40;101000;28;( 
41;101001;29;) 
42;101010;2A ;* 
43;101011;2B ;+ 
44;101100;2C ;0
45;101101;2D ;– 
46;101110;2E ;. 
47;101111;2F ;/ 
48;110000;30;0
49;110001;31;1
50;110010;32;2
51;110011;33;3
52;110100;34;4
53;110101;35;5
54;110110;36;6
55;110111;37;7
56;111000;38;8
57;111001;39;9
58;111010;3A ;: 
59;111011;3B ;"; "
60;111100;3C ;< 
61;111101;3D ;Erro:520
62;111110;3E ;> 
63;111111;3F ;? 
64;1000000;40;@ 
65;1000001;41;A 
66;1000010;42;B 
67;1000011;43;C 
68;1000100;44;D 
69;1000101;45;E 
70;1000110;46;F 
71;1000111;47;G 
72;1001000;48;H 
73;1001001;49;I 
74;1001010;4A ;J 
75;1001011;4B ;K 
76;1001100;4C ;L 
77;1001101;4D ;M 
78;1001110;4E ;N 
79;1001111;4F ;O 
80;1010000;50;P 
81;1010001;51;Q 
82;1010010;52;R 
83;1010011;53;S 
84;1010100;54;T 
85;1010101;55;U 
86;1010110;56;V 
87;1010111;57;W 
88;1011000;58;X 
89;1011001;59;Y 
90;1011010;5A ;Z 
91;1011011;5B ;[ 
92;1011100;5C ;\ 
93;1011101;5D ;] 
94;1011110;5E ;^ 
95;1011111;5F ;_ 
96;1100000;60;` 
97;1100001;61;a 
98;1100010;62;b 
99;1100011;63;c 
100;1100100;64;d 
101;1100101;65;e 
102;1100110;66;f 
103;1100111;67;g 
104;1101000;68;h 
105;1101001;69;i 
106;1101010;6A ;j 
107;1101011;6B ;k 
108;1101100;6C ;l 
109;1101101;6D ;m 
110;1101110;6E ;n 
111;1101111;6F ;o 
112;1110000;70;p 
113;1110001;71;q 
114;1110010;72;r 
115;1110011;73;s 
116;1110100;74;t 
117;1110101;75;u 
118;1110110;76;v 
119;1110111;77;w 
120;1111000;78;x 
121;1111001;79;y 
122;1111010;7A ;z 
123;1111011;7B ;{ 
124;1111100;7C ;| 
125;1111101;7D ;} 
126;1111110;7E ;~ 
127;1111111;7F ;Delete 
128;10000000;80;Ç 
129;10000001;81;ü 
130;10000010;82;é 
131;10000011;83;â 
132;10000100;84;ä 
133;10000101;85;à 
134;10000110;86;å 
135;10000111;87;ç 
136;10001000;88;ê 
137;10001001;89;ë 
138;10001010;8A ;è 
139;10001011;8B ;ï 
140;10001100;8C ;î 
141;10001101;8D ;ì 
142;10001110;8E ;Ä 
143;10001111;8F ;Å 
144;10010000;90;É 
145;10010001;91;æ 
146;10010010;92;Æ 
147;10010011;93;ô 
148;10010100;94;ö 
149;10010101;95;ò 
150;10010110;96;û 
151;10010111;97;ù 
152;10011000;98;ÿ 
153;10011001;99;Ö 
154;10011010;9A ;Ü 
155;10011011;9B ;ø 
156;10011100;9C ;£ 
157;10011101;9D ;Ø 
158;10011110;9E ;× 
159;10011111;9F ;ƒ 
160;10100000;A0 ;á 
161;10100001;A1 ;ù 
162;10100010;A2 ;ó 
163;10100011;A3 ;ú 
164;10100100;A4 ;ñ 
165;10100101;A5 ;Ñ 
166;10100110;A6 ;ª 
167;10100111;A7 ;º 
168;10101000;A8 ;¿ 
169;10101001;A9 ;® 
170;10101010;AA ;¬ 
171;10101011;AB ;½ 
172;10101100;AC ;¼ 
173;10101101;AD ;¡ 
174;10101110;AE ;« 
175;10101111;AF ;» 
176;10110000;B0 ;░ 
177;10110001;B1 ;▒ 
178;10110010;B2 ;▓ 
179;10110011;B3 ;│ 
180;10110100;B4 ;┤ 
181;10110101;B5 ;Á 
182;10110110;B6 ;Â 
183;10110111;B7 ;À 
184;10111000;B8 ;© 
185;10111001;B9 ;╣ 
186;10111010;BA ;║ 
187;10111011;BB ;╗ 
188;10111100;BC ;╝ 
189;10111101;BD ;¢ 
190;10111110;BE ;¥ 
191;10111111;BF ;┐ 
192;11000000;C0 ;└ 
193;11000001;C1 ;┴ 
194;11000010;C2 ;┬ 
195;11000011;C3 ;├ 
196;11000100;C4 ;─ 
197;11000101;C5 ;┼ 
198;11000110;C6 ;ã 
199;11000111;C7 ;Ã 
200;11001000;C8 ;╚ 
201;11001001;C9 ;╔ 
202;11001010;CA ;╩ 
203;11001011;CB ;╦ 
204;11001100;CC ;╠ 
205;11001101;CD ;═ 
206;11001110;CE ;╬ 
207;11001111;CF ;¤ 
208;11010000;D0 ;ð 
209;11010001;D1 ;Ð 
210;11010010;D2 ;Ê 
211;11010011;D3 ;Ë 
212;11010100;D4 ;È 
213;11010101;D5 ;ı 
214;11010110;D6 ;Í 
215;11010111;D7 ;Î 
216;11011000;D8 ;Ï 
217;11011001;D9 ;┘ 
218;11011010;DA ;┌ 
219;11011011;DB ;█ 
220;11011100;DC ;▄ 
221;11011101;DD ;¦ 
222;11011110;DE ;Ì 
223;11011111;DF ;▀ 
224;11100000;E0 ;Ó 
225;11100001;E1 ;ß 
226;11100010;E2 ;Ô 
227;11100011;E3 ;Ò 
228;11100100;E4 ;õ 
229;11100101;E5 ;Õ 
230;11100110;E6 ;µ 
231;11100111;E7 ;þ 
232;11101000;E8 ;Þ 
233;11101001;E9 ;Ú 
234;11101010;EA ;Û 
235;11101011;EB ;Ù 
236;11101100;EC ;ý 
237;11101101;ED ;Ý 
238;11101110;EE ;¯ 
239;11101111;EF ;´ 
240;11110000;F0 ;­­ 
241;11110001;F1 ;± 
242;11110010;F2 ;‗ 
243;11110011;F3 ;¾ 
244;11110100;F4 ;¶ 
245;11110101;F5 ;§ 
246;11110110;F6 ;÷ 
247;11110111;F7 ;¸ 
248;11111000;F8 ;° 
249;11111001;F9 ;¨ 
250;11111010;FA ;· 
251;11111011;FB ;¹ 
252;11111100;FC ;³ 
253;11111101;FD ;² 
254;11111110;FE ;■ 
255;11111111;FF ;  
